id,Subject,YearGroup,Term1Knowledge,Term1Skills,Term2Knowledge,Term2Skills,Term3Knowledge,Term3Skills,Term4Knowledge,Term4Skills,Term5Knowledge,Term5Skills,Term6Knowledge,Term6Skills,Assessment,LiteracyNumeracy,PersonalDevelopment,HomeLearning,Term1Assessment,Term2Assessment,Term3Assessment,Term4Assessment,Term5Assessment,Term6Assessment
93,History,Year 10,,,,,"Medicine 1700-1900: Edward Jenner, Pasteur and Koch, Anaesthetics and Antiseptics, Florence Nightingale and Hospitals, John Snow: Cholera, Chadwick and the Public Health Acts.",Understanding key statistics and dates.,,,,,,,,"Comparisons, explanations and judgments.","Moral, Social and Cultural: Understand factors that lead to scientific and political change.",,,,,,,
94,History,Year 10,,,,,,,"C20th Medicine: Genetics, Lifestyle, Technology and Diagnosis, Penicillin, Magic Bullets, NHS, Modern Health Issues.",Understanding key statistics and dates.,,,,,,Describing key features. Evaluating sources.,Social and Cultural: Understand scientific and social change through extreme situations.,,,,,,,
95,History,Year 10,,,,,,,,,"The British Sector of the Western Front 1914-18: Ypres, the Somme, Arras and Cambrai, the Trench System, The Nature of Wounds, the RAMC and FANY, Dressing Stations, New Techniques.",Understanding the chronology of the course. Understanding key statistics and dates.,,,,"Describing key features, explanations and judgments.","Spiritual and Cultural: Understanding religious history, conflict and culture. Understanding factors that lead to international conflict.",,,,,,,
96,History,Year 10,,,,,,,,,,,"Early Elizabethan England 1558-88: Queen, Government and Religion: Accession, Religious Settlement and Challenges, Mary Queen of Scots.",Understanding key statistics and dates.,,"Describing key features, explanations and judgments.","Social, Moral and Cultural: Understanding factors leading to socioeconomic changes.",,,,,,,
97,History,Year 11,"Weimar and Nazi Germany 1918-39. The Weimar Republic: Origins of the Republic, Early Political and Economic Challenges, The 1923 Crisis and Recovery, Changes in Society and the “Golden Age”.",Understanding the chronology of the course. Understanding key statistics and dates.,,,,,,,,,,,,"Inferences, source analysis and interpretation.","Social and Cultural: Understanding political spectrum, parties, constitutions and government. Understanding socioeconomic strains on populations.",,,,,,,
98,History,Year 11,,,"Hitler’s Rise to Power: Early Development of the Nazi Party, the Munich Putsch, The Lean Years, 1929 and the Rise in Nazi Support, Hitler Becomes Chancellor.",Understanding key statistics and dates.,,,,,,,,,,Explanation and use of interpretation in writing.,"Spiritual, Moral, Social and Cultural: Understanding the impact of political propaganda and totalitarian institutions upon different sections of society. Understand minority persecution.",,,,,,,
99,History,Year 11,,,,,"Nazi Control and Dictatorship: The Creation of a Dictatorship, The Police State, the Legal System and the Church, Controlling and Influencing, Opposition and Resistance.",Understanding the Chronology of the course. Understanding key statistics and dates.,,,,,,,,"Explanation, Cause and Consequence, Narrative.","Moral, Social and Cultural: Understanding of international relations, politics and institutions.",,,,,,,
100,History,Year 11,,,,,,,"Superpower Relations and the Cold War 1941-91. The Origin of the Cold War: Early Tension Between East and West, The Development of the Cold War, The Cold War Intensifies.",Understanding the Chronology of the course. Understanding key statistics and dates.,,,,,,"Explanation, Cause and Consequence, Narrative.","Moral, Social and Cultural: Understanding of international relations, politics and institutions.",,,,,,,
101,History,Year 11,,,,,,,,,"Cold War Crises 1958-70: Increased Tension Between East and West, Cold War Crises, Reaction to the Crises.",Chronology and statistics.,,,,"Comparisons, explanations, judgments, describing key features, inferences, source analysis and historical interpretations.",Impacts of technology and related ethics.,,,,,,,
102,History,Year 11,,,,,,,,,,,"The End of the Cold War 1970-91: Attempts to Reduce Tension Between East and West, Flashpoints, The Collapse of Soviet Control in Eastern Europe, Collapse of the Soviet Union.",Chronology and statistics.,,"Comparisons, explanations, judgments, describing key features, inferences, source analysis and historical interpretations.",Unseen impacts on programs.,,,,,,,
103,Art,Year 1,Portraits,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
104,Art,Year 1,,,Portraits,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
105,Art,Year 1,,,,,Investigating materials,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
106,Art,Year 1,,,,,,,Investigating patterns,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
107,Art,Year 1,,,,,,,,,Looking at buildings,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
108,Art,Year 1,,,,,,,,,,,Looking at buildings,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
109,Art,Year 2,Fantasy Sculpture,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
110,Art,Year 2,,,Fantasy Sculpture,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
111,Art,Year 2,,,,,Island Sculpture,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
112,Art,Year 2,,,,,,,Island Sculpture,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
113,Art,Year 2,,,,,,,,,Natural ephemera,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
114,Art,Year 2,,,,,,,,,,,Natural ephemera,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
115,Art,Year 3,Investigating patterns,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
116,Art,Year 3,,,Investigating patterns,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
117,Art,Year 3,,,,,Bronze/Iron age,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
118,Art,Year 3,,,,,,,Bronze/Iron age,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
119,Art,Year 3,,,,,,,,,Ancient Greeks,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
120,Art,Year 3,,,,,,,,,,,Ancient Greeks,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
121,Art,Year 4,Roman Gladiators,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
122,Art,Year 4,,,Roman Gladiators,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
123,Art,Year 4,,,,,Ancient Egypt,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
124,Art,Year 4,,,,,,,Ancient Egypt,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
125,Art,Year 4,,,,,,,,,Mountain Landscapes,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
126,Art,Year 4,,,,,,,,,,,Mountain Landscapes,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
127,Art,Year 5,Still life,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
128,Art,Year 5,,,Still life,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
129,Art,Year 5,,,,,Viking sagas,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
130,Art,Year 5,,,,,,,Viking sagas,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
131,Art,Year 5,,,,,,,,,Pointillism,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
132,Art,Year 5,,,,,,,,,,,Pointillism,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
133,Art,Year 6,Mayan artwork,Investigating shapes through art work.,,,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
134,Art,Year 6,,,Mayan artwork,Investigating shapes through art work.,,,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
135,Art,Year 6,,,,,Pirates,Investigating shapes through art work.,,,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
136,Art,Year 6,,,,,,,Pirates,Investigating shapes through art work.,,,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
137,Art,Year 6,,,,,,,,,People,Investigating shapes through art work.,,,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
138,Art,Year 6,,,,,,,,,,,People,Investigating shapes through art work.,,To record observations about artwork using writing methods.,Expressing emotions through artwork.,,,,,,,
139,Art,Year 7,"Drawing: Drawing, application of tone, general shading techniques.",Understand proportion and scale.,,,,,,,,,,,,Understand a range of artistic terms.,Pupils support each other in a variety of projects to enhance team working skills.,,,,,,,
140,Art,Year 7,,,"Clay work: Transferring an image to clay, rolling cutting and joining techniques.",Measuring.,,,,,,,,,,Understand a range of artistic terms. Record observations.,Pupils ask questions about art and communicate their ideas and feelings.,,,,,,,
141,Art,Year 7,,,,,"Recycled Art: Translating a design into a finished artwork, joining techniques, finishing. Artist study Tony Cragg",Measuring.,,,,,,,,Understand a range of artistic terms. Record observations.,Pupils support each other in a variety of projects to enhance team working skills.,,,,,,,
